author_name,coauthor_name
GÃ©rard Roland,A Valcu
John B. Shoven,AG Mainous 3rd
Christopher Adam,A James Oâ€™malley
Yaron Azrieli,Akhter Ahmed
Willemien Kets,Aitor Erce
Alan Gerber,A Ali Daniel
Benjamin E. Hermalin,A Ejrnaes
Francesca Molinari,A SEN
Philipp Sadowski,Adam L Alter
Zach Brown,Akiko Terada-Hagiwara
Andrew Metrick,A Bucciol
Motohiro Yogo,Abdur Rouf Solaiman
Victor Gay,Aidan R Vining
Erik HÃ¶lzl,A Przeworski
Markus Brunnermeier,ASR Murty
Han Hong,A Van Geen
Donald J. Harris,A Mushfiq Mobarak
Carsten Trenkler,A Glyn
Fanny Henriet,A RodrÄ±guez-Clare
Edward C. Norton,A Nuvolari
Lawrence Kahn,AN Rosenthal
James Hilger,AB Elizabeth
Alicia Adsera,A Basualdo
Efrem Castelnuovo,A Okonek
Martin Eichenbaum,AV Sardesai
Jan van Ours,ABHIJIT AUTOR BASU
Pierre Perron,Adam M Galovan
Gabriel Chodorow-Reich,A Schoenfelde
James D. Fearon,AB Birtles
Bernard Cornet,A FaragÃ³
Daniel Wiesen,A Lans Bovenberg
Andrew Postlewaite,A Burnett
Emerson Melo,A Penati
Vinod Mishra,Aiko Hattori
Arnaud Costinot,A Couffinhal
Petra Persson,Adam Hoffer
Krislert Samphantharak,AM Montoya
Adrien Blanchet,A Agrawal
Giuseppe Moscarini,A SÃ¡nchez
Jan Boone,AB Wyss
Mirko Draca,Abdul Raufu Mustapha
Michael McMahon,Abbi M Kedir
Alexandre Corniere,A Banerjee
Thijs Van Rens,Agustin Salvia
Moritz Kuhn,Abdullah Yava
Michael Callen,Abbas Mehrabian
Christopher Flinn,A Janvry
Christian Gollier,A Hortacsu
Christopher A. Sims,A James Oâ€™Malley
Randall Wright,Adam Wantz
Carlos AlÃ³s-Ferrer,A Ghosh
Kenneth Gillingham,ALEXANDRE MAS
Itzik Fadlon,AA Bellack
Alberto Abadie,A Aposolides
Liam Wren-Lewis,ANDREi SHLEiFER
Gregory Crawford,A Thomas
Peter J. Hammond,Adam D Nowak
Ronald D. Lee,Adolfo Figueroa
Ariel Pakes,A Colangelo
Javier Cravino,AC Case
Wouter Den Haan,Ajay Malhotra
Erik Hornung,A Prummer
Alexander Kempf,A Baccini
Kristof Bosmans,AM Ni
Eric Verhoogen,A Primer
Stephen J. Redding,Aggey Semenov
Carlos Carrillo Tudela,A Gijsbert
Loren Brandt,ANS Staff
Lawrence Ausubel,AN Baldwin
Randall P. Ellis,Adam Wagstaff
Ralph Ossa,Adam Szirmai
Anmol Ratan,A Carolina Ortega
James Peck,AB Schnare
Marta Reynal-Querol,ATTILIO DI BATTISTA
Patrick Conway,Ada Ferrer-I- Carbonell
Alexander Vostroknutov,A Baglino
Nicolas Jacquemet,Abhishek Ranjan
Alessandra Voena,A Ash
Adrien Auclert,A Agarwal
Elisa AlÃ²s,A Paige Fischer
Manuel GarcÃ­a-Santana,ARIJIT MUKHERJEE
John E. Roemer,AH Bentley
Ramon Caminal,Adam Teune Przeworski
Joel Waldfogel,AF Webster
Rakesh Vohra,Adam Swift
Paul Mizen,Adam Ashcraft
Christopher Phelan,A Jones
Donald Andrews,A Morjaria
Daniel Cohen,A Kumar
Kate Antonovics,AL Nagar
Kim Ruhl,AM Esplin
Dan Cao,A Krueger
Kiminori Matsuyama,AM Evans
Alberto Alesina,A Appadurai
Sourafel Girma,Adrienne Lynn
Abhimanyu Gupta,A A Rampini
Allen R. Sanderson,A Becker
