author_name,coauthor_name
Ramin Toloui,Adam Tauman Kalai
Edward C. Norton,A Nuvolari
Azeem Shaikh,A Deykin
Eunhee Lee,A Rapoport
Charles Wilson,A Halabi
Joshua Angrist,AJ Tierney
Huub Meijers,A de Janvry
Reshad Ahsan,Adamos Adamou
Kurt Lavetti,AM Papag
Michael Wolf,Abdel K Halabi
Sanjeev Goyal,Adrian E Morelli
Gopi Goda,A Takeuchi
Nava Ashraf,Abhijit V Banerjeet
Elizabeth Dhuey,A Parikh
Jennifer Smith,ACY Ng
Natalia Ramondo,Abhijit Banerjee
Zhipeng Liao,Akira Hayami
Robin Naylor,Aditya Ghose
Charles Manski,A HARGERBER
Steven Wiggins,Agne Suziedelyte
Justin Wolfers,AK Sen
Lionel Fontagne,ANIL K KASHYAP
Michel Grabisch,Abdelaati Daouia
Francesco Agostinelli,A SUWA-EISENMANN
Josh Graff Zivin,AJ Sutton
Zhihong Yu,Akira Fukao
Daniel Wiesen,A Lans Bovenberg
Gavin Wright,A Sharma
Pierre-Yves Geoffard,Adam M Yavitz
Eric S. Maskin,A Postlewaite
Eric Verhoogen,A Primer
Jura Liaukonyte,AK Meikap
Jesse Rothstein,AE Harrison
N. Gregory Mankiw,Abelardo Salazar Neaves
Leonardo Bursztyn,ANDREW MARTIN
Loren Brandt,ANS Staff
Giovanni Ricco,A Swamy
Xianwen Shi,Ajit Singh
Maria Garcia De La Vega,AS Gerber
Christoph Trebesch,A James O'Malley
Ralph Ossa,Adam Szirmai
Susuan Vroman,Agnieshka Baumritter
Matthew Greenwood-Nimmo,Aaron D Shaw
Ishita Dey,A-z Bai
Matthew Shapiro,Aaron Gordon
Hal Varian,A Valdes
Christian Stoltenberg,A Hughes Hallett
Peter Werner,Adam Hale Shapiro
Christian Gollier,A Hortacsu
Ezra Oberfield,A Razin
Karthik Muralidharan,AL Jones
Francesco Giavazzi,A Saitz
David Laibson,A Maira
Rafael A. Calel,Adam Ross
Yuriy Gorodnichenko,Akiko Haruna
Lorenzo Caliendo,ANTHONY J VENABLES
Laura Puzzello,AMARTYA SEN
Diego Restuccia,A Meinhardt
William A. Darity,Aitor Lacuesta
J.A. Smulders,AA Liu
Matthew O. Jackson,Aaron Flaaen
Mike Mueller-Smith,Abdoul G Sam
Paul Niehaus,Adam B Cox
Lee J.Alston,ANDRES DRENIK
Donald Davis,A Moser
Guillermo Noguera,A Tsyvinski
David Weinstein,A Mark Fendrick
Cameron Hepburn,A Gambardella
Juan Ortner,AK Akulwad
Martin Strobel,AZ Yang
Luis Vasconcelos,AR Green
Guy Laroque,A Ullah
Pablo Fajgelbaum,Abu Abdullah
Jane Cooley Fruehwirth,ABHIJIT Banerjee
Daniela Puzzello,A Le Maux
Michael Greenstone,Abbas Valadkhanic
John Moore,AHO van Soest
Willemien Kets,Aitor Erce
Jess Benhabib,ADrIAN WoLFBErg
Kenneth West,ALIREZA TAHBAZâ€SALEHI
Jan Recke,ABDOLKARIM SADRIEH
Jun Xiao,AK Matin
Andrea Vedolin,A Bjorklund
Naomi Lamoreaux,Abhijeet Ghosh
Javier Gil-Bazo,AC Corbett
Jeffrey Miron,ACJM Wilthagen
Robin Hogarth,Aditi Sen
John Joseph Wallis,AH Lacerda
Nathan Nunn,Abhijit Ghosh
Tomasz Strzalecki,Ahmed Tohamy
Luo Xiao,AR Kostol
Ellen McGrattan,A Paskeviciute
Eric Schulz,A Prasanna De Silva
Anthony Venables,A Chapman
Martin J Osborne,AW Molvik
Martin P. Fritze,AW Postlewaite
Christoph Wolf,A James O'malley
Gina Pieters,A Steger
Kelvin Seah,ALEXANDER SP Pfaff
Nathaniel Lane,Abhijit V Banerjee
David Baqaee,A Linssen
Gregory Rosston,A Thomas King
Qingyuan Du,Adam Przeworski
Uwe Sunde,Ai Yue
Zhong Songfa,Akira Ishikawa
Andres Santos,A Brad Murray
Bruce Hansen ,A GOOLSBEE
Ariell Reshef,A Colin Cameron
Simon Mongey,Adriano A Rampini
MartÃ­ Mestieri,Aainaa K Roslee
Benjamin Enke,A Erce
Christian Dustmann,A Holly
Ginger Zhe Jin,A Stein
Andrea Lanteri,A Binagwaho
Miquel Faig,Abdul Mumit
Tania Treibich,AgnÃ¨s Benassy-QuÃ©rÃ©
Prabhu Pingali,Adam P Spira
Martin Eichenbaum,AV Sardesai
Dennis Novy,A McCloskey
Laura Grigolon,AM Voogd-Hamelink
Michael Kremer,Abbey B Berenson
Ugo Troiano,Ahrash Dianat
Gianni De Fraja,A Squire
Nicholas Ziebarth,Abhishek Basu
Hillel Rapoport,A Wuppermann
Seo Juwon,Adrian R Pagan
Claudia Senik,A Justin Kirkpatrick
Leonid Kogan,ANDREW Oswald
Yoram Halevy,Akihiro Nishi
Joan MonrÃ s,AF Newman
Yeon-Koo Che,Akhter U Ahmed
Vivek Bhattacharya,Aileen Thompson
Jordi Mondria,AJ Ortiz
Eckhard Janeba,A Nichifor
Andrew Ellis,A Bris
Swati Dhingra,Agnieszka Jach
Maitreesh Ghatak,AR Wagner
Charlie Brown,A Hall
Natalie Bau,Abhijit Bannerjee
Mariacristina De Nardi,AS Kher
Bas Jacobs,A Dobermann
Wei Cui,Aimee Yee Ying Chin
Dean Lueck,A Masten
Supreet Kaur,Agnes Norris Keiller
Michael Peters,Abbi Mamo Kedir
Emerson Melo,A Penati
Dirk Schindler,A Mian
Hunt Allcott,A de Grip
Kevin Spiritus,ALVIN F WEBER
Yusuf Mercan,Akiko Kamesaka
Eswar Prasad,A Rajkumar
Daniel L. Chen,A Kurnaz
Martina Fuchs,Aadne Cappelen
Martin Beraja,AV Blue
Leo Simon,ANDREW Chesher
Moshe Buchisky,Abdulrasheed Zakari
Luca Gambetti,AP van Veen
Debraj Ray,A Mathur
Mark Dean,AS Taffesse
Timothy Gronberg,Ahmed Elsayed
Alberto Alesina,A Appadurai
Oliver Linton,Abigail Powell
Elena Cettolin,A Opatkiewicz
George-Marios Angeletos,A Sinko
Martin Watzinger,Aad van der Vaart
Stefan Dercon,Adries de Grip
Harald Uhlig,A Velasco
Julian R. Betts,AK Dixit
Melissa Famulari,Aaron Tornell
Lars Peter Hansen,AM SÃ¼nbÃ¼l
Molly Schnell,Abdul Samad Sami Kazi
Ala Avoyan,A Alesina
Simn Weidenholzer,Adriana Paolantonio
Enghin Atalay,A Pfaff
Stefano Giglio,Aeimit Lakdawala
Martin Uribe,AZM Iftekhar Hussain
Thomas Meissner,Aharon R Ofer
Florian Englmaier,A Ruiz
Julia Thomas,AK Christensen
Ida Mirzaie,A van Soest
Jan van Ours,ABHIJIT AUTOR BASU
Andrea Ferrero,A Bigsten
Hassan Afrouzi,A Vignoles
Richard G. Newell,Adedoyin Soyibo
Tiziana Assenza,Ahmed Matovu
Donald J. Harris,A Mushfiq Mobarak
Mei Dong,Aaron Seth Yelowitz
Carine Milcent,A GarcÃ­a
Fernando Broner,A Rowbottom
Gordon Leslie,A Tanabe
Jia Li,AE Oswald
Ulrich Wagner,Ahu Gemici
Xiaoxia Shi,Akash Raja
Spiros Bougheas,Adrienne Robek
Daniel Trefler,A Langer
Philippe Jehiel,Adam Licurse
Menno Pradhan,Aart De Zeeuw
Erkut Ozbay,A Quisumbing
Richard Clarida,Adedeji Adefuye
Dennis Jansen,A McCalla
Amil Petrin,A Bento
Alexander Torgovitsky,A Baghvand
Vineet Kumar,Aikaterini Karadimitropoulou
Laura Veldkamp,AMARTYA Sen
Seema Jayachandran,Adrian Peraltaâ€Alva
Adrian Wood,A Abulafi
Emel Filiz Ozbay,A Peichl
John B. Taylor,AG Yasser
Christian Ruff,A Hubert
Philipp Ketz,Adam Krellenstein
Daniel Baumgarten,A KrÃ¼ger
Maureen Cropper,Aaron Nicholas
Can Urgun,A Garcia-Mosqueria
Martha L. Olney,AV Bane0ee
Josef ZweimÃ¼ller,AJ Reid
Paul Milgrom,Adalbert Winkler
Johannes Pfeifer,AG Grenvik
Victoria Baranov,Aidan Yao
Nick Feltovich,Abhishek Chakravarty
Axel Ockenfels,A De la Fuente
Sharon Traiberman,Adriana Galvan
Joyce Chen,AJLJ Caplin
Jeffrey Clemens,AC Muskens
Nathaniel Baum-Snow,Abhijit Ramalingam
Elisa Faraglia,A Palmonari
Timur Kuran,Ahmed M Alaa
Timothy Wong,Ahmed Khwaja
Jean-Francois Laslier,AC Gielen
David Byrne,A Lorenz
Dirk Bergemann,A Merlo
Songzi Du,Adrien Vogt-Schilb
Klaus Adam,AM Froomkin
Ingo Vogelsang,A von Siemens
Anne Gielen,A Casey
Christian Brownlees,A Hofman
Simon Lodato,Adriana Z Robertson
Gordon Hanson,A Tan-McGrory
Antoine Mandel,A Chassagnon
Kate Ho,AL Tappu
Christian Fons-Rosen,A Horst
Daniel Cohen,A Kumar
Tarek Hassan,AgnÃ¨s BÃ©nassy-QuÃ©rÃ©
Daniel Ershov,A Kurmann
Michael Baker,Aart Kraay
Sean Nicholson,Adrian Lewis
Raquel Fernandez,Adam Wyner
Jennifer Laâ€™O,ACM Dumay
Mark Huggett,ASK Li
Larbi Alaoui,AM Robert Taylor
Jordan Roulleau-Pasdeloup,AJ Newton
Roger Koenker,Adiya Tsend
Joachim Winter,AF Alesina
Basile Grassi,A Douglas Melamed
Horag Choi,A Yesim Orhun
Jeremy Bulow,AD Wilkie
Kyle Bagwell,AM Parfitt
Vinod Mishra,Aiko Hattori
Huseyin Yildirim,A de Janury
Muhamet Yildiz,Abe de Jong
Alexander Kempf,A Baccini
Giuseppe Attanasi,A Szirmai
Jeromin Zettelmeyer,ADRIEN Verdelhan
Alvin Roth,A Bell
Francois Libois,A Santacreu
Martin Cripps,AV Deardorff
Andrew Clarke,A Bringsjord
Mark Gertler,ASHOK GUHA
Stephen Hansen,Agatha S Hultquist
David M. Cutler,A Malhotra
David Card,A Lorien
Burhanettin Kuruscu,A Galeotti
Nathaniel Hendren,Abhijit Sen
Andrew Chesher,A Bratasz
Peter Schott,Adam H Kaye
Ian Preston,A de Zeeuw
Axel Anderson,A De Paula
JosÃ© Luis (Pepe) Montiel Olea,AJ de Zeeuw
Giovanni Mastrobuoni,A Sunderland
Yusufcan Masatlioglu,Akiko Maeda
Marina Halac,AS Masten
Satoru Takahashi,Adrian Hillenbrand
Roberton Williams III,Aditi Mehta
Ross Booth,Adonis J Yatchew
William D. Nordhaus,Aitor Muguruza
Jeffrey MacKie-Mason,ACCPAB members
Bhaskar Dutta,A Finkelstein Shapiro
Marco Francesconi,AS Bhalla
Stefania Garetto,AdriÃ¡n G de la Garza
Brad Larsen,A Foxley
Teodora Boneva,AgnÃ¨s COUFFINHAL
Sebastian Galiani,Adrian Low
Pierre Koning,Adam M Esplin
Laurent Bouton,AMR Taylor
Fausto Panunzi,A Rogalev
Michal KolesÃ¡r,Abdel Salhi
Markus Brunnermeier,ASR Murty
Eugene Choo,A Rapaczynski
Judith K Hellerstein,AK Campbell
Pietro F. Peretto,Adam McCloskey
Antonio Cabrales,A Chiappori
Elias Khalil,A PARAKHONYAK
James B. Rebitzer,AArpÃ¡d ÃbrahÃ¡m
Isabel Trevino,A-Z El Dessuki
Dieter Hess,A Meister
Simon Loertscher,Adriane Lesser
Neil Shephard,Abhijit V Barerjee
Shari Eli,Adriana Chacon
James K.Self,AB Krueger
Suphanit Piyapromdee,Agnes Kovacs
Jonathan Vogel,AJ Morgan
Michelle Rendall,Abderrahmane Alj
Pablo Querubin,Abusaleh Shariff
John Sutton,AI Rensselaer
Sir Christopher Pissarides,Adrien Auclert
Jakob Madsen,AA Willeto
Martin Ruhs,AY Liu
Robert Evans,Adhemar Longatto-Filho
Victor Gay,Aidan R Vining
Andrew F. Newman,A Brouwer
Mathieu Taschereau-Dumouchel,Aaron B Flaaen
Manoj Mohanan,ARAGHI MANSOUR KHALILI
Attila Lindner,A Daouia
Joan Llull,AF Cottrell
Nicholas Christakis,Abhinay Muthoo
David Just,A Mahabal
Ethan Ilzetzki,A Rajput
Ivan Balbuzanov,AA Bernheim
Piotr Dworczak,Adam N Smith
Victor Chernozhukov,Aidan Meyler
Daniel Rubinfeld,A Lamorgese
Manuel Bagues,ARE Sinclair
Ephraim Leibtag,A Poggi
Colin Stewart,A Katsaggelos
Mehmet Caner,Aaron S Edlin
Jeremie Gignoux,AD Stein
John E. Roemer,AH Bentley
David Yanagizawa-Drott,A Martin
Jordi Jaumandreu,AJ OSWALD
Patrick Feve,Ada Ferrer-i-Carbonell
Daniel Sturm,A Landmann
Louis Levy Garboua,AP AraÃºjo
Wolfgang Pesendorfer,Ajay Kumar Kalyani
Lionel Frost,ANN F FRIEDLANDER
Sabine Wende,Adriaan Van Zon
Johannes Schmieder,AG Guttormsen
Maria Petrova,AS Hanks
Elias Tsakas,A Pagan
Thomas Dohmen,Agustina Levy
Danny Quah,A Leonardson
Herakles Polemarchakis,A Whiteside
Guido Tabellini,A Tornell
Zhuo Jin,Akira Sasaki
Seth G. Sanders,Adrian Willoughby
Philip Grossman,Adam Isen
Adrien Auclert,A Agarwal
Philip J.Cook,Adam Jaffe
Larry Samuelson,AM Santomero
Brendan Beare,A Friedman
Fei Li,A Rompalo
Fuhito Kojima,A Schoenfeld Walker
Katrin Millock,ALBERTO ALESINA
Patrick Conway,Ada Ferrer-I- Carbonell
Olivier Compte,Abraham Bernstein
Shane Frederick,Adrian Wood
Joel Watson,AFD Avila
Andrew Barr,A Brand
Kyle Jurado,AM Rauth
Craig McIntosh,A Khan
Daniel Quint,A Lacerda
Maurice Obstfeld,Aaron R Hawkins
Elizabeth Frankenberg,A Park
George E. Tauchen,A SimÃµes Lopes
Allan Drazen,A Bayrou
Kathryn M. E. Dominguez,ALAN Stockman
Miguel Urquiola,Abdo Yazbeck
Lori Beaman,AO Krueger
Richard Kneller,Adeel Malik
Can Tian,A Gandhi
Brian P. McCall,A FÃ¼gener
Enrique G. Mendoza,A Plekhanov
Luigi Lovino,AR Ezzat
Ronald Wolthoff,Adolfo HernÃ¡ndez
Susan Athey,Agnes R Quisumbing
Klaus Abbink,AM Freund
John B. Shoven,AG Mainous 3rd
Marcus Miller,AS BÃ©nÃ©trix
Loukas Karabarbounis,AP Bartel
Jan Potters,AB-Stiglitz Atkinson
Andrew Oswald,A Burak GÃ¼ner
Tomasz Wozniak,Ahmed Tritah
Liam Wren-Lewis,ANDREi SHLEiFER
Federico Bugni,A Rola
Christopher Skeels,A Jones-Rooy
Jacob Thomas,AA Swan
Jonathan Cave,AJ Clarke
Mary Ann Bronson,Aakash Mohpal
Imran Rasul,A van de Meerendonk
Catherine Eckel,A Goodman
Daniela Grieco,A Lashkaripour
Alp Simsek,A Bedi
Huanxing Yang,A Yvrande-Billon
Jaroslav Borovicka,ABHIJIT V Banerjee
Laura Panza,AM van der Woude
Tony Smith,Ahmet Alanay
Sanjay Chugh,Adrian Bruhin
Basant K. Kapur,A Dorbandt
Jakub Kastl,AA Zoltners
FranÃ§ois GÃ©rard,A Saxenian
Richard Rogerson,Adela Conchado
Mikhail Panov,Abdul Ali
Sebastian Findeisen,Adrian Lopes
Martin Schneider,AY Sunga
Libertad GonzÃ¡lez,ANHANGâ€“Grafische Darstellungen
Rosa Ferrer,Adolfo Martinez Valle
Gustavo Bobonis,A Uitterlinden
Agnieszka Markiewicz,A Ahmed
Gianmarco LeÃ³n,A Spilimbergo
Don Kenkel,A Morgan
Danny Yagan,A Leslie Robb
Carsten Trenkler,A Glyn
Hanming Fang,A Van der Horst
Mushfiq Mobarak,Abel Rodriguez
Michael Jansson,Abbasinejad Hossein
JosÃ© Scheinkman,AJ-Kotlikoff Auerbach
Xiaodong Zhu,Ajoy Ghosh
David Atkin,A LeÃ³n
Frank Schilbach,A Santomero
Martin Evans,AV Stewart
Garey Ramey,A Serratos
James Feigenbaum,AB CANIZARES
Michael McMahon,Abbi M Kedir
Hippolyte d'Albis,A YOTOPOULOS
Titus Galama,Ahmed M Khalid
Amanda Kowalski,A Belloni
Abhijit Banerjee,> SN Broadberry
Takuro Yamashita,AgnÃ¨s Benassy-Quere
Luc Arrondel,AP Dawid
Emily Breza,A Perez
Douglas Gollin,A NELLEN
Jeremy Greenwood,ADAM Esplin
Tanjim Hossain,AgnÃ¨s Bonnet
Joel Horowitz,AF Rositch
Stefanie Stantcheva,Aduato Castelo
Tobias Salz,Ahmed Mobarak
Ferdinand Rauch,A Roventini
Mark Ebers,ASHISH SHENOY
Kei Kawai,ALBRECHT RITSCHL
Levon Barseghyan,ANDREW STEPTOE
Gustavo Torrens,A Ukhov
Evan Sadler,A Rawls Sen
Rahul Deb,Adam S Wilk
Mikkel SÃ¸lvsten,Abdul Ghafar Noury
Oliver Falck,Abigail Okrent
Hans-Martin Von Gaudecker,A Vasdev
Arkadi Predtetchinski,A Conroy
Sylvie Lambert,Agnieszka Sobolewska
William Sandholm ,Ajay Goel
David Rahman,A Manning
Christopher Flinn,A Janvry
Christopher Mckelvey ,A Johnson
Pedro Linares,Adam Bonica
Tommaso Monacelli,Ahmer Qasim Qazi
Pol AntrÃ s,Adam Osman
Elena Stancanelli,A Oscoz
V. Joseph Hotz,Ai-Gul S Seitenova
Oliver E. Williamson,Abigail McKnight
Caroline M. Hoxby,A Gijsbert C van Lomwel
Russell Smyth,Adriaan Kalwij
Emanuele Tarantino,A Paul David
Eric French,A Pooja Shukla
Gaurav Datt,A Shaikh
Atif Mian,A CÃ¡sares de Maselli
Phillip McCalman,Adam M Brandenburger
Bruce Preston,A Gabriella Wernicke
Marco M. Ottaviani,AS Blinder
Maarten Bosker,AR Rubin
Tatevik Sekhposyan,AgnÃ¨s BÃ©nassy-quÃ©rÃ©
Gabriella Conti,A Seitenova
Marcus Chambers,AS Butler
Nicholas Buchholz,Abhimanyu Gupta
Chen Ying,A Hanushek Eric
Andreas Peichl,A Blinder
James Hilger,AB Elizabeth
Kosuke Uetake,AM Mayda
Tommaso Denti,Ahmed Usman
Andreas Hagemann,A Blackwood-Chirchir
Johannes Spinnewijn,AG Halunga
David A. Miller,A Levin
Bahar Leventoglu,A Dick
Esther Hauk,A Rajaratnam
Anke Leroux,A Carol
Kai Liu,AKBAR Norman
Mel Stephens,Aaron Siskind
Andrew Rhodes,A Burstein
Patrick Bayer,Ada Brandenberger
Nick Netzer,Abhishek Kar
Erik Berglof,A Provins
Luca Flabbi,AP Lieberman
Albert Marcet,A Anrose
Massimo Giuliodori ,Aamrah Hussain
Charles Maxwell Becker,A Haferkamp
Giuseppe Moscarini,A SÃ¡nchez
Robert Gibbons,Adi Boiko
David McAdams,A MalÃ©zieux
Alexander Guembel,A BUSINESS
Lee E. Ohanian,ANDREI Shleifer
Richard B. Freeman,Adaora A Adimora
Karen Macours,AL Barabasi
Katherine Meckel,ALAN B KRUEGER
Marocs Vera Hermandez,ATLAS collaboration
Jean Imbs,AC Disdier
David Pollard,A Mani
Liu Haoming,ANS Champions
J.Bradford DeLong,AA McKnight
Ying Fan,Aki Kangasharju
Raymond Fisman,Adam Zylbersztejn
Jeremy Lise,ADAM OSMAN
John Karl Scholz,AH Waterman
Drew Fudenberg,A Narayan
Oliver Tercieux,Abigail Wozniak
Lata Gangadharan,AM Thacker
Martin Fiszbein,AV Thakor
Dominick Bartelme,A Mody
Siqi Pan,Adrianus Maria van der Woude
Joshua C Teitelbaum,AJ Venables
Elisa Borghi,A Pakes
Qi Li,Adam Prezeworski
Guido W. Imbens,A Trannoy
Francesco Bianchi,A Saban
Pascual Restrep,Acknowledg Ements
Pau Olivella,Ada Li
Roberto Pascual,Adisorn Ermongkonchai
Peter Coughlin,Adam Chilton
Guido Lorenzoni,A Timms
Boragan Aruoba,A Fontaine
Robert Schoeni,Adi Wyner
Lutz Hendricks,AR Lamorgese
Alex Possajennikov,A B&sch-Supan
Duan Jin-Chuan,A Neely
Mark J. Machina,ASM Sohidull Islam
Joseph Engelberg,AJ Schuurman
Pasquale Schiraldi,Ad Notten
Patrick Bolton,Ada Ferrer-Carbonell
Charles Engel,A GÃ¼ldem Cerit
Thiemo Fetzer,AgnÃ¨s Rico
Aysu Okbay,A Deardorff
JÃ³n Steinsson,AK Shiva Kumar
Michelle Sovinsky ,Abderrahmane Sokri
Ryan Decker,Adriaan R Soetevent
Arnab K. Basu,A Cosh
Robert Bloomfield,Adele Simmons
Brian McManus,A Fuat FÄ±rat
Peter Kooreman,Adam DI Kramer
Maarten Lindeboom,AR Sen
David Sahn,A Manresa
Edward A. Snyder,A Nur Zincir-Heywood
Georgy Artemov,A Sives
Paul J. Healy,Adair Turner
Enrique Calderin,A Pinfield
Jurgen Von Hagen,AK Pain
Peter R. Hansen,Adam GerÅ¡l
Yves Zenou,Akiko Suwa-Eisenmann
Francois Fontaine,A Sankarasubramanian
Michael Boehm,Aasim M Husain
Christis Tombazos,A Islam
Vasiliki Skreta,Aida Paskeviciute
Bernard Cornet,A FaragÃ³
Jessica Pan,AE MacNeily
Xavier Sala-i-Martin,Ajit Kumar Mishra
Elbert Dijkgraaf,A Olukoga
Pushkar Maitra,Adam Pilny
Todd Sarver,Ahmed S Rahman
Fanny Henriet,A RodrÄ±guez-Clare
Jeremy Stein,ADAM PRZEWORSKI
Eric Ghysels,A Portes
Guilherme Lichand,A Trigueros
Hilary Hoynes,A Wood
Roberto Pancrazi,Adiqa K Kiani
Christopher Neilson,A Jol
Guy Michaels,A VAN DER WOUDE
Matthew Rognlie,Aaron Fleischman
Dirk Sliwka,A Michael Froomkin
Anne Ruiz-Gazen,A Castaneda
Manuelita Ureta,ARNOLD C HARBERGER
Ernst Fehr,A ROBINSON JAMES
Juan-JosÃ© Ganuza,AK CHOWDHURY
Dave Donaldson,A Lever
Carlos Carrillo Tudela,A Gijsbert
Alexander Wolitzky,A Banal-EstaÃ±ol
Clement Imbert,A Karim Abu-Affash
Serena Ng,Adrian S Lewis
Gregory Crawford,A Thomas
Lawrence Uren,AN Solonin
Erik Thorbecke,A Przeworsky
Amy Glass,A Bhattacharyya
Maite Cabeza GutÃ©s,AR Stephen
Edward E. Leamer,A NuÃ±ez Mencias
Jeffrey Harris,AC Richard
Francois Geerolf,A Sankovski
JÃ¶rn Grahl,AK Srivastava
Dana Sisak,A Krzyzak
Alessandra Voena,A Ash
Martin Peitz,AW Rimoin
Harrison Hong,A Ventura
Douglas Miller,A Nagata
Gianmarco Ottaviano,A Spoerry
Sara Fisher Ellison,Adrian E Raftery
Till Von Wachter,Ahmad Hassan Ahmad
Subhrendu K. Pattanayak,Agnes Blaye
David Hsieh,A Mackridge
LÃ­dia FarrÃ©,AR Nobay
Ismael Mourifie,A. Ockenfels
Kenneth E. Train,ALEXANDRA ENGLISH
Andrew Caplin,A Brandon
Ilse Lindenlaub,A van Zon
Juan Carlos Escanciano,AK Achleitner
Denis Chetverikov,A Mazumdar Sen
Victor Aguirregabiria,Aidan Makwana
Chris Proulx,A Hecq
Hui Chen,A Zech
Esteban Rossi-Hansberg,A Rahman
Christopher A. Sims,A James Oâ€™Malley
Friederike Mengel,A Schoar
Abigail Barr,A Aakvik
Martha J. Bailey,AUGUSTO LOPEZ-CLAROS
Harry Pei,A Viceisza
Arik M. Levinson,A Conchado
Andrei Shleifer,A Boltho
Anne Boring,A Casella
Roland BÃ¨nabou,Adolf Rebler
Joshua Hausman,AJ Wenig
Matthew Gentzkow,Aaron Cohen
Harry Kaiser,A VerniÃ¨re
Avner Greif,A De Jong
Alan Sorensen ,A Amighini
Nadine Ketel,Abha Joshi-Ghani
Jonathan Heathcote,AJ Fraser
Lorenz Goette,ANTHONY DM Smith
Ragan Petrie,Adam S Posen
Christian Michel,A Horton
Mitsuru Igami,Abdul Salam
John C Haltiwanger,AGC Van Lomwel
Robert Cumby,Adeline D Yeh
Peter Murrell,Adam Drewnowski
Kyle Herkenhoff,AM Pereira
Edward Glaeser,A NÃºÃ±ez
Hidenori Takahashi,A William
Moritz Schularick,Abdullah YavaÅŸ
Qingmin Liu,Adam Pron
Gabriel Ulyssea,A Scott
Lucia Dunn,AR Bergstrom
Zohal Hessami,Akira Suzuki
Karl Shell,AL Bovenberg
Albert Banal-EstaÃ±ol,A Annett
Tri Vi Dang,Ahmet Faik Ã–ner
Erik HÃ¶lzl,A Przeworski
Allan Timmermann,A BeauliÃ¨re
Todd Hare,Ahmed Mushfiq Mobarak
Christopher Knittel,A Johns David
Aytek Erdil,A Denny Ellerman
Ryan Webb,Adriaan R Soeteventa
Robert G. King,Adhir Ghosh
Ryota Iijima,Adriaan RÃ²bin Soetevent
Marina SchrÃ¶der,AS Pinto Barbosa
Martin Fochmann,AVNER Greif
Andreas Schabert,A Blokland
Richard Walker,Adelaide P Alicbusan
Gino Gancia,A Steinmayr
Peter Rossi,Adam Glowacki
Vera Troeger,Aidan Craig
Jonathan Hall,AJ Culyer
Isaac Sorkin,A-L BarabÃ¡si
Dale Squires,A Kluger
Wesley M. Cohen,Aishwarya Lakshmi Ratan
Joachim Voth,AEJP Jacobs
Valerie A. Ramey,Aico Van Vuuren
Lucie Gadenne,AR Bhuiyan
Laurence J. Kotlikoff,AMMMtttS MeS
Selim Gulesci,Adrian R Fleissig
AndrÃ©s HincapiÃ©,A Caplin
Karen Dynan,AL Albanese
Sascha Becker,Adrian Hamins-Puertolas
Keyu Jin,AM Dayal
Peter Neary,Adam Ennis
Bruno Strulovici,A Gafni
David Easley,A Lunde
Yang Zu,Akhil K Sen
Chris Edmond,A Heath
Giorgio Primiceri,A Stott
Franco Peracchi,A Sandroni
Jean-Francois Houde,AC Edwards
Roy Chen,Adonis Yatchew
Gary Fields,A Seyoum
Bruce Watson,A Gaffney
Francis J. DiTraglia,A Salzwedel
Jean-Marc Tallen,AC Harberger
Pau MilÃ¡n,Ada Kovaliukaite
GaÃ«l Le Mens,A Shcherbakov
Dominik Wied,A Morales
Amy Finkelstein,A Bhattacharjee
John Eric Humphries,AH Diercks
Antoine Bozio,A Chari.
Andrew Yates,A BÃ‰NASSY-QUÃ‰RÃ‰
Eric van Damme,A Pron
Andrea Prat,A Bish
Martin Kocher,AW Phillips
Asadul Islam,A CÃ¡ceres
Donald Andrews,A Morjaria
Mita Bhattacharya,Abdul Rehman Khan
Peter Phillips,Adam Freeberg
Cristina Arellano,A Khawaja
James Albrecht,AAM Hart
Serdar Ozkan,Adrian Roethlisberger
Paul Mizen,Adam Ashcraft
Ruli Xiao,Adriaan JC Van Den Brule
Ilya Segal,A van Zorn
Argimiro Arratia,A Cirone
Leah Platt Boustan,ANDREI SHLEIFER
Joyee Deb,AJTM Weeren
Benoit Crutzen,A Fantini
Natalie Chen,Abhijit Chowdhury
Giacomo A.M. Ponzetto,A Smith
Martial Dupaigne,AV Banerjee
Elhanan Helpman,A Ouali
Luigi Pascali,AR Fooks
Jidong Zhou,AE Roth
Nicholas Ryan,Abhirup Sarkar
Monika Piazzesi,Abdulhamid Bedri Kello
Zhuan Pei,Akira Okada
Lawrence Christiano,AN Clark
Owen Zidar,Abrizio Zilibotti
Ana Rute Cardoso,A Bhuiya
Frances Stewart,A SChleifer
Bert Willems,A Ferrer-i-Carbonell
Pietro Biroli,Adam Mackridge
Antoine d'Autume,A Chaudhary
Michael R. Darby,Abby Alpert
Oliver Vanden Eynde,Abla Safir
Lorenzo Cassi,ANTHONY Venables
Jacob Goldin,AA Summers
Edward Tower,A Oduro
Sharon Tennyson,Adriana D Kugler
John Y. Campbell,AJ Barr
Luigi Bocola,AR Deykin
Alan Manning,A Alpaslan Altun
Pietro Ortoleva,Adam Meirowitz
Katarina Borovickova,AL McRee
Ettore Damiano,A Rana
Eric Bartelsman,A Poncet
Charles Sprenger,A Hait
Thierry Magnac,Agostino Capponi
Detlef Fetchenhauer,A McKnight
Matthieu Gomez,Aaron Maitland
Henry Hyatt,A Weiss
Nicholas Jackson,Abhiroop Mukherjee
John Rehbeck,AI Glotov
