author_name,coauthor_name
Amit Gandhi,A Bernard
Gabriel Chodorow-Reich,A Schoenfelde
Jack Willis,AA Soliman
Francesco Zanetti,A Salam
David Sraer,A Margolies
Dean Karlan,A Masson
Cristina Gualdani,A Khwaja
Maria Montero,AS Habib
James M. Walker,AB Murray
Ivan Canay,AA Bostian
David Schoenherr,A Marckwardt
Frank Wolak,A Sasmal
Sarah Zubairy,Adrian Garcia-Mosqueira
Andrew Metrick,A Bucciol
Michael Coelli,Abbas Valadkhani
Daniele Condorelli,A Legoyt
Otto Swank,Abram Lipman
Evgenia Motchenkova,A Raychaudhuri
Matthew Leister,Aaron Edlin
Carl Simon,A GavilÃ¡n
Kristof Bosmans,AM Ni
Henrik J. Kleven,A Wein
Anne-Celia Disdier,A Chakrabarti
John Leahy,AHA Scientific Statements
Nir Jaimovich,Abigail Gilmore
Jason Lindo,AC Atkinson
Rajiv Sethi,Adam Storeygard
Tanya Rosenblat,AgnÃ¨s BÃ¨nassy-QuÃ©rÃ©
Felix KÃ¶lle,A Ross
Jan Eeckhout,AB de Alzuet
Christian Bayer,A HernÃ¡ndez
Ranjan Ray,Adam Wooster
Sokbae (Simon) Lee,Adrien Verdelhan
Wenli Cheng,Aishwarya L Ratan
Laura D. Tyson,AM Van der Woude
Indranil Chakraborty,A van den Brule
Manuel Moreno,ARMM Ali
Elmar Mertens,A Paul
Harald Fadinger,A Vazan
Marc Fleurbaey,ARUN AGRAWAL
Robert A. Margo,Adele Morris
Luminita L. Stevens,AR Khan
Daniele Paserman,A Lemer
Leonard Wantchekon,ANDREW E Clark
Bingsong Wang,A Firth
Gregor Jarosch,A Thakor
Florian Hoffmann,A Ruiz-Gazen
John Shea,AI Kryger
Ching-To Albert Ma,A Haurie
Wladislaw Mill,Ajay Goila
Lea Cassar,ANDREA Boltho
David Lagakos,A Mahal
Matteo Bobba,Aaron Berliner
James Andreoni,AAS Van Heezik
Ronald de Vlaming,Adolfo IbÃ¡Ã±ez
Nicola Lacetera,Abhishek Kashyap
Scott McKeon,Adrian JB Wood
Li Gan,ANDREW ZEITLIN
Christopher Udry,A Jorge Padilla
Carlos AlÃ³s-Ferrer,A Ghosh
Gijs van de Kuilen,A Stan Hurn
Wayne Geerling,Aimee Maxwell
Dina Pomeranz,A Menkir
Shuanming Li,Adriana Kugler
Christian Bontemps,A Hirsh
Xavier Jaravel,Ajay Thutupalli
Alfred Galichon,A Basil
Julie Berry Cullen,AK MISHRA
Julian Wright,AK Hui
Zeina Alsharkas,Akila Weerapana
Maxim Troshkin,Aaron Roth
Sule Alan,Agnes C Rola
Emmanuel Saez,A Peter
Sergio Urzua,Adrian Towse
Detlef Schoder,A Mehra
Jeffrey Ely,AC Nelen
Edward Miguel,A Ockenfels
Joel Sobel,AF Shorrocks
Chiara Fumagalli,A Harrison
Frederic Malherbe,A Schleifer
Kevin Hjortshoj O'Rourke,ALLAN Timmermann
Tom Crossley,Ahmed Skali
Geert Mesters,A Sheilfer
Andreas Mueller,A Blaye
Kristoffer Nimark,AM Nolan
Elisa AlÃ²s,A Paige Fischer
Michel Le Breton,Abdelbaki Benamor
Benjamin Olken,A Ewing
Daan van Soest,A Klrman
Gabriel Kreindler,A Schuurman
Diego Perez,A Meier
Laurent Gobillon,AMSE-BdF Labor Market
Navin Kartik,Abhijit V Banerji
Elizabeth Oltmans Ananat,A Parsimonious Macroeconomic
Carlo Perroni,A Gelb
Julieta Caunedo,AK Majumder
Robert Ulbricht,Adina Ardelean
Michael Reich,Abd AR Higazi
Garance Genicot,A Sen3 Dr S Kundu
Aubhik Khan,A Das
Kevin M. Murphy,ALVARO ZINI
Florian Sniekers,A Rustichini
Stefano Ungaro,Afia Tasneem
Helmuth Cremer,A Warner
Carl Shapiro,A Garratt
Guillermo Calvo,A Tshefu
A. Craig Burnside,105 collaborators
Dan Cao,A Krueger
Corina Mommaerts,A Katsanidou
Jean-Olivier Hairault,AC Harvey
Dirk Krueger,A Meyendorff
Francesca Molinari,A SEN
Timothy Moore,Ahmed Hamoud Al-Shibami
Rafael Dix-Carneiro,Adam S Booij
Joseph Farrell,AJ Singh
David Martimort,A Malsbender
Ethan Kaplan,A Ramos
Johannes Maier,AG De Bruyn
Dominik Karos,A Moller Dano
Alexia Katsanidou,A Barro Alesina
Ian Savage,A dâ€™Autume
Scott Page,Adrian Lerche
Oliver GÃ¼rtler,Abigail Payne
Richard T. Carson,Adela Conchado RodrÃ­guez
